AU,x,y
439,0,0
439,10,0
439,20,0
439,30,0
439,40,0.8
439,50,4.8
439,60,13.6
439,70,25.1
439,80,38.6
439,90,53.7
439,100,69.6
439,110,85.9
439,120,102.1
439,130,117.7
439,140,132.1
439,150,144.7
439,160,154.5
439,170,161.3
439,180,166
439,190,169.3
439,200,171.7
439,210,173.4
439,220,173.8
439,230,174.3
439,240,174.8
439,250,175.2
439,260,175.7
439,270,176
439,280,176.4
439,290,176.7
439,300,177.1
439,310,177.4
439,320,177.6
439,330,177.6
439,340,177.5
439,350,177.5
462,0,0
462,10,0
462,20,0
462,30,2.3
462,40,14
462,50,41.2
462,60,78.9
462,70,120.4
462,80,160.7
462,90,197.7
462,100,231
462,110,260.9
462,120,287.5
462,130,309.9
462,140,328.1
462,150,341.7
462,160,351.1
462,170,356.9
462,180,360.8
462,190,363.5
462,200,365.5
462,210,366.9
462,220,367
462,230,367.2
462,240,367.2
462,250,367.3
462,260,367.3
462,270,367.3
462,280,367.2
462,290,367.1
462,300,367
462,310,366.9
462,320,366.9
462,330,366.9
462,340,366.8
462,350,366.8
440,0,0
440,10,0
440,20,0
440,30,1
440,40,8.8
440,50,27.1
440,60,51.9
440,70,82.4
440,80,115.8
440,90,150
440,100,183.5
440,110,215.9
440,120,246.9
440,130,275.3
440,140,300.4
440,150,321.3
440,160,336.8
440,170,346.7
440,180,353.3
440,190,358.1
440,200,361.7
440,210,364.1
440,220,364.7
440,230,365.5
440,240,366.2
440,250,366.8
440,260,367.4
440,270,368
440,280,368.5
440,290,368.9
440,300,369.4
440,310,369.8
440,320,370
440,330,370
440,340,370
440,350,370
471,0,0
471,10,0
471,20,0
471,30,0
471,40,1.1
471,50,8.9
471,60,35.5
471,70,75.8
471,80,125.1
471,90,176.4
471,100,224.9
471,110,269.5
471,120,310.1
471,130,346.1
471,140,377.1
471,150,402.9
471,160,421.7
471,170,432.7
471,180,438.2
471,190,440.7
471,200,441.1
471,210,440.2
471,220,436.4
471,230,433.1
471,240,429.9
471,250,426.8
471,260,424
471,270,421.3
471,280,418.7
471,290,416.2
471,300,413.8
471,310,411.5
471,320,409.4
471,330,408.5
471,340,408.5
471,350,408.5
461,0,0
461,10,0
461,20,0
461,30,0.1
461,40,1.1
461,50,6.1
461,60,17.6
461,70,34.4
461,80,54.1
461,90,75.1
461,100,96.2
461,110,116.5
461,120,135.6
461,130,153
461,140,168
461,150,180.3
461,160,189.2
461,170,195.5
461,180,199.9
461,190,203.1
461,200,205.5
461,210,207.7
461,220,208.4
461,230,209.1
461,240,209.8
461,250,210.4
461,260,211
461,270,211.5
461,280,211.9
461,290,212.3
461,300,212.6
461,310,213
461,320,213.2
461,330,213.2
461,340,213.2
461,350,213.2
436,0,0.1
436,10,0.2
436,20,0.6
436,30,8.2
436,40,31.6
436,50,66.9
436,60,105.5
436,70,142.5
436,80,174.3
436,90,201.4
436,100,224.5
436,110,244.4
436,120,260.9
436,130,273.4
436,140,281.6
436,150,285.4
436,160,285.5
436,170,282.6
436,180,278.8
436,190,274.9
436,200,271.3
436,210,267.6
436,220,263.8
436,230,260.5
436,240,257.5
436,250,254.9
436,260,252.6
436,270,250.6
436,280,248.8
436,290,247.2
436,300,245.9
436,310,245
436,320,244.7
436,330,244.7
436,340,244.7
436,350,244.7
467,0,0
467,10,0
467,20,0
467,30,0
467,40,0.1
467,50,0.8
467,60,3.4
467,70,8.7
467,80,16.9
467,90,27.2
467,100,39.1
467,110,52.2
467,120,66.2
467,130,80.4
467,140,94.3
467,150,107.2
467,160,117.4
467,170,124.6
467,180,129.5
467,190,132.8
467,200,134.9
467,210,136.4
467,220,136.6
467,230,136.9
467,240,137.3
467,250,137.6
467,260,137.9
467,270,138.2
467,280,138.4
467,290,138.6
467,300,138.9
467,310,139.1
467,320,139.3
467,330,139.3
467,340,139.3
467,350,139.3
459,0,0
459,10,0
459,20,0
459,30,0
459,40,0
459,50,0
459,60,0
459,70,2.5
459,80,8.2
459,90,15.1
459,100,22.9
459,110,31.1
459,120,39.2
459,130,47
459,140,59.7
459,150,69.1
459,160,77
459,170,83.1
459,180,87.6
459,190,91
459,200,93.6
459,210,95.7
459,220,96.2
459,230,96.7
459,240,97.2
459,250,97.8
459,260,98.2
459,270,98.7
459,280,99.1
459,290,99.5
459,300,100
459,310,100.4
459,320,100.7
459,330,100.8
459,340,100.8
459,350,100.8
